Company Title,Company Links,Company Description,Leak Published Date,Number of visits,Leak Size
Instituto Agrario Dominicano,,"Databases, applications, emails, etc.,",2022-09-01,24.3K,1100GB
Shaw & Slavsky,,"Shaw & Slavsky was founded in 1932 as a manufacturer of POP signs for grocery retailers. Since our inception, we have provided innovative signage and merchandising solutions for retailers. We have over 100,000 square feet of manufacturing capacity to build stock and custom signage and fixtures.",2022-08-19,30.6K,6GB
BEESENSE,,"-Source code of SERAPHIM, Harhony, iVMS-4200, and etc. - Software for echolocation equipment, for CCTV, for maps - Softwares, software, projects, equipment drawings: Bee3 Bee5 Compact & sophisticated day & night, dual-sensor surveillance system FireFly 500 FireFly Mantis 3 Stand-off radar- integrated surveillance - and other - Working cards with sensors installed - SQL, xmpp, JIRA, HASHREP, Tamal, synel - WhatsApp messages, emails, internal chat - Financial documents: sales, contracts, annual reports, expense planning, payroll, bookkeeping - Purchasing and sales information (collaboration) with many countries - Personal documents for employees: resumes, employment contracts, contracts, document scans. - A lot of research software",2022-08-04,39.2K,1.3TB
Broshuis | Driving innovation,,"Employees data, customer data, Financial Data, HR Data",2022-07-18,57.2K,117GB
ZEUS Scientific,,"Description Dates:
- Complete archives of all Research Projects and Developments, both current and past
- Full archives of all commercial Projects and Designs
- Full test results of all Projects and Studies
- Source AtheNA and ELISA
- Full QS Data Databases for the whole period of company existence
- Full backups and SAP SQL databases for the whole period of our business
- Various other SQL databases for the entire period of the company's operation
- Contracts, Accounting Balances, Scans, Invoices, etc.
- Various Email correspondence
- Personal information of company employees
- Outlook .pst backups",2022-07-14,62.9K,540GB
Shred Station,,"Customer Data, HR Data, Employees Data, Financials",2022-06-14,98.3K,47GB
Florida Department of Veterans' Affairs,,"All possible data: veterans data, employees data, financial data, HR data, contracts with suppliers, tax and ssn data and so on",2022-05-31,120.9K,1.1TB
Valley Rentals,,"employee and customers personal data with SSN and full address, DL , financial documents, client documents, contracts, invoices, statements, insurance documents",2022-04-29,158.4K,120GB
Drive Products,,"Personal Data, Finanacial Data, Partner Data, HR data",2022-07-18,158.3K,500GB
Tehama County Social Services,,"Financial information, budgets, fiscal docs, contracts, HR data, resumes, payrolls, clients personal data, scans ID, scans SSN, personal info, scans certificates, incident reports, COVID vaccine cards, personal medical information, death lists, criminal record documents, Protective Custody Removal Warrants, many working documents, confidential documents, birth certificates, medication lists, children documents, court reports, client base with addresses and phones, MEDS program access, insurance documents",2022-05-12,146.2K,32GB
Camden City School District,,Lots of student and employees personal data,2022-04-20,170.2K,200GB
JetStar,,"Financial Data, HR Data, Employees Data including Payroll, Personal data for majority of employees, Customer data.",2022-04-11,187.5K,43GB
InfoTek Consulting Services,,"Personal data - scans of ID, DL, W9 and other tax forms, employee contracts, a lot of resumes (background, phone numbers, addresses and other personal data), accounting and financial internal information, bank information, budgets, signed documents, insurance documents, management data, contracts with clients, contracts with companies. We also have a bonus data from
Prodigy Systems inc (www.prodigysys.com)",2022-03-10,247.7K,11G
Maple Lodge Farms,,"Documents: Financial information, reports, contracts
HR: personal employees data
Other: media material from manufacturing, projects, etc

Notes:
Company avoids negotiations in any way.
Animal Advocates Groups, please keep eyes on publication. We sincerly hope you will find something interesting in the data.",2022-01-31,282.3K,300GB
Biotique,,"Passport scans, credit card scans, recipes for making cosmetics, Financial statements 2018-2021, sales reports and purchases 2020-2021.",2021-12-23,339.7K,35GB
