Company Title,Company Links,Company Description,Leak Published Date,Number of visits,Leak Size
Fundo Nacional de Desenvolvimento da Educação,https://www.fnde.gov.br,"The National Fund for Educational Development (FNDE) is a federal agency under the Ministry of Education, responsible for implementing programs nationwide, including the National School Nutrition Program – PNAE, which serves 47 million students throughout the country, offering adequate and safe food in schools. Since its establishment, the FNDE has undergone several changes, which became more intense when the Brazilian government laid the groundwork for the formation of a substantive conception of education that pervades all levels of education and procedures. Thus, the agency was strengthened, especially with regard to the ongoing management of activities, projects and educational programs as a strategy to support the promotion of educational quality. Nowadays, besides the National School Nutrition Program - PNAE, the FNDE is responsible for implementing the Programs of School Transportation, National Textbook, School Direct Money, Brazil Literate, Pro-Youth, Joint Action Plan, Pro-Child, Decentralization and the Open University Credits.",published: 2022-09-03,visits: 28256,leak size: 62.14GB
Bombardier Recreational Products (BRP) - BONUS CONTENT (!!!),http://www.brp.com,"In addition to previous leak: employees credentials, if you need netflix, battle.net, paypal or pornhub account feel free to use it; employees personal photos/videos; confidential BRP documents from several employees desktops/laptops. Why it's posted separately? They forces us to increase damage of the attack due to their ""negotiations team"".",published: 2022-08-24,visits: 39885,leak size: 2.6GB+
Bombardier Recreational Products (BRP),http://www.brp.com,"BRP Inc. is the holding company for Bombardier Recreational Products Inc., operating as BRP, a Canadian manufacturer of snowmobiles, all-terrain vehicles, side by sides, motorcycles, and personal watercraft. It was founded in 2003, when the Recreational Products Division of Bombardier Inc. was spun-off and sold to a group of investors consisting of Bain Capital, the Bombardier-Beaudoin family and the Caisse de dépôt et placement du Québec. Bombardier Inc., was founded in 1942 as L'Auto-Neige Bombardier Limitée (Bombardier Snowmobile Limited) by Joseph-Armand Bombardier at Valcourt in the Eastern Townships, Quebec. As of October 6, 2009, BRP had about 5,500 employees; its revenues in 2007 were above US$2.5 billion. BRP has manufacturing facilities in five countries: Canada, the United States (Wisconsin, Illinois, North Carolina, Arkansas, Michigan and Minnesota), Mexico, Finland, and Austria. The company's products are sold in more than 100 countries, some of which have their own direct-sales network. BRP's products include the Ski-Doo and Lynx snowmobiles, Can-Am ATVs and Can-Am motorcycles, Sea-Doo personal watercraft, and Rotax engines. The Ski-Doo was ranked 17th place on CBC Television's The Greatest Canadian Invention in 2007. Confidential agreements, NDA's, personal data, passports, etc.",published: 2022-08-23,visits: 41401,leak size: 29.29GB
Sonae,https://mc.sonae.pt,Food Retail Market Leader in Portugal,published: 2022-04-05,visits: 278749,leak size: 27GB
Stago,https://www.stago.com,"Diagnostica Stago, Inc., (DSI) is an industry leader in the science of hemostasis and thrombosis. Stago provides the total commitment of global resources and responsiveness, coupled with cutting edge technology and reliability. DSI is dedicated to continually developing and providing the very best hemostasis products, technical support, and services. Firmware source codes inside.",published: 2022-03-29,visits: 287218,leak size: 423MB
Scottish Association for Mental Health,https://www.samh.org.uk,"SAMH is the leading mental health organisation in the voluntary sector in Scotland. It seeks to provide people with the strength and confidence to have greater autonomy and control in their lives to facilitate change and recovery. SAMH operates over 60 services in communities across Scotland. Services are person centred and based on an ethos of recovery. For details of local services get in touch on 0141 530 1000, available 9am to 5pm, Monday to Friday.",published: 2022-03-20,visits: 303807,leak size: 12.51GB
Viva Air,https://www.vivaair.com,"Fast Colombia S.A.S., trading as Viva Air Colombia and formerly VivaColombia, is a Colombian low-cost airline based in Rionegro, Antioquia, Colombia. It is a subsidiary of Irelandia Aviation and third largest airline in the country. It is not legally affiliated with Mexico's VivaAerobús, a fellow low-cost carrier co-founded by Irelandia which also uses the ""Viva"" brand. 26.5 million of client's names/dob's/passport numbers/phones/mails and a lot of other things inside.",published: 2022-03-14,visits: 317591,leak size: 18.25GB
POP TV,https://www.24ur.com,"Pro Plus is a Slovenian multimedia company (d.o.o.) for television management, television productions, films of international studios, and sales of television advertising time. Pro Plus operates the commercial television programs Pop TV, Kanal A, Brio, Oto and Kino, the media web site 24ur.com, the specialized web sites Zadovoljna.si, Bibaleze.si, Cekin.si, Vizita.si, Frendi and Flirt, Moškisvet.com, Okusno.je and Dominvrt.si. Casting applicants (21K+) personal data, CV's, videos, photos, crew personal data.",published: 2022-02-15,visits: 355244,leak size: 2.4GB
KCA Deutag,https://www.kcadeutag.com,"With over 130 years of experience, KCA Deutag is a leading drilling, engineering and technology company working onshore and offshore with a focus on safety, quality and operational performance. They operate approximately 110 drilling rigs in 20 countries. KCA Deutag's corporate headquarters are in Aberdeen where the Land, Offshore and RDS divisions operate from. Bentec is headquartered at its manufacturing facility in Bad Bentheim, Germany. POSITIVE DRUG TESTS, COVID UNVACCINATED EMPLOYEES, CREDENTIALS and a lot of fun inside.",published: 2022-01-28,visits: 399562,leak size: 362.97GB
Hellmann Worldwide Logistics,https://www.hellmann.net,Hellmann Worldwide Logistics is one of the largest international logistics providers.,published: 2021-12-15,visits: 466408,leak size: 70.64GB
UMW Group,https://www.umw.com.my,The UMW Group is a leading industrial conglomerate and one of Malaysia's foremost public-listed companies.,published: 2021-12-10,visits: 474875,leak size: 990.0MB
Ruwac,https://www.ruwac.de,"Since 1985, Ruwac Industrial Vacuums has been manufacturing portable, central, silo and specialty industrial vacuum cleaner systems.",published: 2021-12-06,visits: 483395,leak size: 7.79GB
Digicel Group,https://www.digicelgroup.com,"Digicel is a Caribbean mobile phone network and home entertainment provider operating in 33 markets across the Worldwide regions. The company is owned by Irish businessman Denis O'Brien, is incorporated in Bermuda, and is headquartered in Jamaica.",published: 2021-12-05,visits: 504438,leak size: 164.55GB
Unione dei Comuni Terre di Pianura,https://www.terredipianura.it,L'Unione dei comuni Terre di Pianura è un ente locale costituito nel gennaio 2010. Nasce dalla precedente esperienza di associazione intercomunale costituitasi nel 2000 con il nome di “Associazione Terre di Pianura”.,published: 2021-11-15,visits: 520620,leak size: 530.24GB
Unione Reno Galliera,https://www.renogalliera.it,"L'Unione Reno Galliera è una unione di comuni che nasce dall'accordo tra otto comuni italiani della città metropolitana di Bologna. Il loro territorio, costeggiato dal fiume Reno, si estende a nord del capoluogo, sviluppandosi verso Ferrara. Ne fanno parte Argelato, Bentivoglio, Castello d'Argile, Castel Maggiore, Galliera, Pieve di Cento, San Giorgio di Piano, San Pietro in Casale.",published: 2021-09-26,visits: 621099,leak size: 58.59GB
United Carton Industries Company Ltd,https://www.ucic.com.sa,"United Carton Industries Company (UCIC) has been in the corrugated business since 1990 with a current annual capacity of 420,000 tonnes. UCIC focuses on high quality corrugated solutions for the customized packaging needs.Five state of the art plants produce corrugated boxes, point of sale material, shelf ready and high graphic packaging. Strategically positioned in Jeddah and Riyadh, catering to the corrugated needs of FMCG, white goods, agricultural and packaging companies which includes the largest multi-national corporations and the best of domestic industry.",published: 2021-09-20,visits: 604701,leak size: 26.37GB
American Megatrends International,https://www.ami.com,"Founded in 1985 and known worldwide for AMIBIOS®, the mission of AMI is to power, manage and secure the world’s connected digital infrastructure by providing best-in-class UEFI and remote management firmware, security solutions, development tools and utilities to top-tier manufacturers of desktop, server, mobile and embedded/IoT systems. Source codes are inside.",published: 2021-08-26,visits: 692053,leak size: 45.9GB
Gigabyte Technology,https://www.gigabyte.com,Gigabyte Technology is a Taiwanese manufacturer and distributor of computer hardware. Gigabyte's principal business is motherboards.,published: 2021-08-12,visits: 731398,leak size: 46GB
Ermenegildo Zegna Holding,https://www.zegna.com,"Discover the world of Ermenegildo Zegna Group, a family company guided by ethical entrepreneurship that leads the fashion sector in a sustainable way.",published: 2021-08-06,visits: 741252,leak size: 20.74GB
Liberty Group & ForHousing,https://www.liberty-group.co.uk,"ForHousing formerly City West Housing Trust (CWHT) is a housing association in the City of Salford district. ForHousing is part of the Forviva Group with their head office in Eccles, Greater Manchester. Their homes were previously owned by Salford City Council until 2008 when they were stock transferred across to the new entity. ForHousing owns, and maintain over 14,600 homes. Colette McKune is the Group Chief Executive and Andy Zuntz is the chairman.",published: 2021-08-01,visits: 756238,leak size: 34.67GB
Corporación Nacional de Telecomunicación,https://www.cnt.gob.ec,"The Corporación Nacional de Telecomunicaciones, CNT EP is the public telecommunications company in Ecuador that offers fixed telephony services local, regional and international, Internet Access (Dial-Up, DSL, mobile Internet), satellite television and mobile telephony in Ecuadorian territory.",published: 2021-07-21,visits: 778489,leak size: 11.23GB
Walsin,https://www.walsin.com,Walsin Technology - a leading supplier of passive components. SVN repositories inside.,published: 2021-07-12,visits: 797176,leak size: 5.15GB
WT Microelectronics,https://www.wtmec.com,"WT Microelectronics Co., Ltd. develops and markets integrated circuits (IC) products. The Company's products include linear IC, applied IC, admixture semaphore IC, logic IC, image detecting IC, and memory IC. Wintech acts as an agent for Texas Instruments, Fairchild, ST Microelectronics, Marvell, Wolfson, and Bowoon.",published: 2021-07-01,visits: 811197,leak size: 31.18GB
Universal Assistance S.A.,https://www.universal-assistance.com,Universal Assistance is part of an international group that specializes in providing assistance services for travelers around the world. A lot of clients data leaked.,published: 2021-06-03,visits: 819696,leak size: 54.54GB
STEMCOR,https://www.stemcor.com,STEMCOR is a leading independently run service provider for the steel industry.,published: 2021-05-20,visits: 850365,leak size: 122.88GB
Wallace & Carey,https://www.wacl.com,"The Wallace & Carey team provides innovative, efficient, courteous, and cost-effective service. With more than 1,000 deliveries a day, adding up to millions of delivered items each year, we work hard to make sure our customers get what they need when they need it, and we get it right the first time!",published: 2021-05-16,visits: 853935,leak size: 10.16GB
Samvardhana Motherson Peguform,https://www.smp-automotive.com,"Samvardhana Motherson Peguform (SMP) is a leading expert in high quality interior and exterior modules for the automotive industry. The company is a member of the Motherson Group, one of the 22 largest automotive suppliers worldwide.",published: 2021-05-08,visits: 868615,leak size: 24.33GB
Nobiskrug,https://www.nobiskrug.com,"Nobiskrug is a shipyard located on the Eider River in Rendsburg, Germany, specialized in building innovative, custom-made luxury superyachts. In 2020 it celebrated its 115 years of operation.",published: 2021-04-26,visits: 877658,leak size: 22.56GB
Ajuntament de Castelló,https://castello.es,"Internal/municipal/police documents, IDs, incidents, etc.",published: 2021-04-10,visits: 877141,leak size: 119.34GB
Consiglio Nazionale del Notariato,https://www.notariato.it,"Consiglio Nazionale del Notariato, Via Flaminia, 160, 00196 ROMA, CF.80052590587",published: 2021-03-31,visits: 855214,leak size: 2.16GB
Pertamina EP,https://www.pertamina.com,"PT Pertamina (Persero) or PERTAMINA (was Perusahaan Pertambangan Minyak dan Gas Bumi Negara, lit. 'State Oil and Natural Gas Mining Company') is an Indonesian state-owned oil and natural gas corporation based in Jakarta. It was created in August 1968 by the merger of Pertamin (established 1961) and Permina (established 1957). The firm is currently (2013) the second-largest crude oil producer in Indonesia behind the US-based Chevron Pacific Indonesia. In 2013 for the first time, Pertamina ranked no. 122 in the Fortune Global 500 list of companies with revenues totalling to $70.9 billion, it is also the sole Indonesian company to be featured in the list. According to 2020 Fortune list, Pertamina is the largest company in Indonesia.",published: 2021-03-19,visits: 856694,leak size: 430.6MB
CalAmp (NASDAQ: CAMP),https://www.calamp.com,"CalAmp is an Irvine, California-based provider of Internet of things software applications, cloud services, data intelligence and telematics products and services.",published: 2021-02-23,visits: 857049,leak size: 0.6MB
Soluzioni Infrastrutturali Telefoniche ed Elettriche S.p.A.,https://www.sittel.it,"Soluzioni Infrastrutturali Telefoniche ed Elettriche S.p.A. is located in ROMA, ROMA, Italy and is part of the Heavy & Civil Engineering Construction Industry. It has 485 employees at this location and generates $79.58 million in sales (USD). There are 20 companies in the this corporate family.",published: 2021-02-06,visits: 861504,leak size: 19.32GB
Indura SA,https://indura.net,"Indura SA operates as an industrial gas company. The Company provides production and distribution of oxygen, acetylene, and nitrogen gases, as well as manufactures welding material and equipment. Indura serves industries worldwide.",published: 2021-02-02,visits: 845763,leak size: 1017.69MB
Vistra,https://vistra.com,"Vistra ist ein globaler Anbieter von Verwaltungs-, Management- und Immobiliendienstleistungen. Mit insgesamt 3500 Mitarbeitern ist Vistra in 44 Ländern in Amerika, Asien, Europa und dem mittleren Osten vertreten. Die Firmenzentrale befindet sich in Hongkong.",published: 2021-01-28,visits: 817677,leak size: 52.74GB
Ultrapar Participações S.A.,https://www.ultra.com.br,"Ultra is a Brazilian company operating in the sectors of fuel distribution, through Ipiranga and Ultragaz; in the production of specialty chemicals, through Oxiteno; in the storage of liquid bulk, through Ultracargo; and in pharmacies, through Extrafarma, all of which are subsidiaries entirely controlled by Ultrapar holding. The company is publicly traded under the name Ultrapar on São Paulo’s stock exchange (B3) and on New York’s (NYSE).",published: 2021-01-24,visits: 839611,leak size: 35.52GB
St. James Parish Credit Union,https://www.stjpcu.com,"Since its inception in 1939 the St. James Parish Credit Union has been serving its members in the CINCINNATI, Ohio area with exceptional financial products. Currently led by Julianne Bruzina, the St. James Parish CU has grown its membership to over 980 with assets of more than $5,835,177. They have a main office and 1 branch offices.",published: 2021-01-03,visits: 796561,leak size: 725.83MB
